,Label,MBI,MNDWI,NDVI,SAVI
5,5,0.149173,0.0597894,0.0541908,0.0812837
5,5,0.149912,0.065838,0.0390308,0.0585444
5,5,0.151958,0.0116375,0.123728,0.185584
5,5,0.149017,0.0903825,0.0262854,0.0394271
5,5,0.148528,0.0745847,0.0420023,0.0630017
5,5,0.161806,0.0955554,0.0361578,0.054235
5,5,0.146818,0.0747934,0.0556644,0.0834939
5,5,0.152113,0.106257,0.0119522,0.0179278
5,5,0.145794,0.0322325,0.0872159,0.130819
5,5,0.135038,-0.00547645,0.135096,0.202636
5,5,0.153159,0.104594,0.0187308,0.0280955
5,5,0.147105,0.101173,0.0224371,0.0336547
5,5,0.147105,0.101173,0.0224371,0.0336547
5,5,0.137942,0.13546,0.00413827,0.00620721
5,5,0.141009,0.117524,0.0136599,0.0204892
5,5,0.134121,0.110495,0.0548339,0.0822477
5,5,0.134107,0.132931,0.0202919,0.0304368
5,5,0.13076,0.100578,0.0444094,0.0666119
5,5,0.142985,0.11254,0.0276373,0.0414545
5,5,0.153087,0.126209,0.0280759,0.0421124
5,5,0.151858,0.0846557,0.0278805,0.0418194
5,5,0.142853,0.0714058,0.0517818,0.0776699
5,5,0.152615,0.0581267,0.0889055,0.133352
5,5,0.145211,0.112289,0.0104817,0.0157222
5,5,0.153888,0.120746,0.00622189,0.00933255
5,5,0.147921,0.0851644,0.035742,0.0536111
5,5,0.14952,0.100014,0.0218031,0.0327036
5,5,0.14669,0.107901,0.0200584,0.0300866
5,5,0.151579,0.125572,-0.000505306,-0.000757937
5,5,0.140861,0.126621,0.0231468,0.0347191
5,5,0.148172,0.118653,0.00595823,0.00893709
5,5,0.148382,0.121095,0.0530165,0.0795218
5,5,0.145948,0.126393,0.0275904,0.0413842
5,5,0.141586,0.0994902,0.0295972,0.0443944
5,5,0.165497,-0.096477,0.155387,0.233071
5,5,0.168084,-0.0345352,0.103392,0.155082
5,5,0.17779,-0.0694807,0.0865792,0.129864
5,5,0.183754,-0.0884629,0.127055,0.190574
5,5,0.177397,-0.0585106,0.0808774,0.121311
5,5,0.17613,-0.0708278,0.0922839,0.138421
5,5,0.178192,-0.0755171,0.105428,0.158136
